Data_Quality_Notes,type,title,director,cast,release_year,rating,Duration_Value,Duration_Unit,listed_in,description,Data_Quality_Notes
s1,Movie,The Grand Seduction,Don Mckellar,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",2014,Not Rated,113,Min,"Comedy, Drama","A Small Fishing Village Must Procure A Local Doctor To Secure A Lucrative Business Contract. When Unlikely Candidate And Big City Doctor Paul Lewis Lands In Their Lap For A Trial Residence, The Townsfolk Rally Together To Charm Him Into Staying. As The Doctor'S Time In The Village Winds To A Close, Acting Mayor Murray French Has No Choice But To Pull Out All The Stops.","""Missing values identified; replaced with 'Not Mentioned' to maintain dataset consistency."""
s2,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",2018,13+,110,Min,"Drama, International",A Metro Family Decides To Fight A Cyber Criminal Threatening Their Stability And Pride.,"""Column was 99% empty; removed or filled with 'N/A' based on relevance."""
s3,Movie,Secrets of Deception,Josh Webber,"Tom Sizemore, Lorenzo Lamas, Robert Lasardo, Richard Jones, Yancey Arias, Noel Gugliemi",2017,Not Rated,74,Min,"Action, Drama, Suspense",After A Man Discovers His Wife Is Cheating On Him With A Neighborhood Kid He Goes Down A Furious Path Of Self-Destruction,"""Detected and removed duplicate entries based on Title/ID to ensure data uniqueness."""
s4,Movie,Pink: Staying True,Sonia Anderson,"Interviews With: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, More!",2014,Not Rated,69,Min,Documentary,"Pink Breaks The Mold Once Again, Bringing Her Career To A New Level In 2013 With A World Tour That Entertains Unlike Ever Before! Get Inside Access To ""The Girl Who Got The Party Started"" With Exclusive Interviews And Rare Live Performances.","""Applied TRIM and PROPER functions to fix inconsistent capitalization and remove extra spaces."""
s5,Movie,Monster Maker,Giles Foster,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",1989,Not Rated,45,Min,"Drama, Fantasy","Teenage Matt Banting Wants To Work With A Famous But Eccentric Creature/Special Effects Man Named Chancey Bellows. He Gets More Than He Bargained For When One Of The Creatures, The Giant Dragon-Like Ultragorgon, Takes Matt Under His Wing. Matt Is Forced To Confront His Inner Monsters While Working Out His Issues With His Father.","""Split mixed duration column into 'Value' and 'Unit' for numeric validation (mins vs seasons)."""
s6,Movie,Living With Dinosaurs,Paul Weiland,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",1989,Not Rated,52,Min,"Fantasy, Kids","The Story Unfolds In A An English Seaside Town, Where Dom, An Only Child, Faces The Imminent Arrival Of A New Sibling, And Subsequently Diminished Attention From His Mother. A Stuffed Toy Dinosaur Named Dog Is Dom'S Only Confidant – Dom Relies On His Friend Heavily For Support As He Confronts His Problems, Accepts The Changes In His Life, And Understands The Love He Has For His Parents.","""Removed text suffixes (e.g., 'min') from numeric fields to allow for mathematical analysis."""
s7,Movie,Hired Gun,Fran Strine,"Alice Cooper, Liberty Devitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",2017,Not Rated,98,Min,"Documentary, Special Interest","They Are The ""First Call, A-List"" Musicians, Just 20 Feet From Stardom, Yet Rarely Receive Credit For Their Work. The 'Hired Gun' Community Lives And Breathes Music, And For The First Time, Share Their Incredible Stories Detailing The Highs And Lows Of Touring Life, The Demands Of Session Schedules, And The Dedication Required To Play Next To Some Of The World'S Most Iconic Musicians.",
s8,Movie,Grease Live!,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos Penavega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz Ii Men, Jessie J, Ana Gasteyer, Didi Conn",2016,Not Rated,131,Min,Comedy,"This Honest, Uncompromising Comedy Chronicles The War Stories And Sexual Misadventures Of A Tight Circle Of Lovers And Friends Fighting To Get Their Acts Together, For Better Or Worse.",
s9,Movie,Global Meltdown,Daniel Gilboy,"Michael Paré, Leanne Khol Young, Patrick J. Maceachern",2017,Not Rated,87,Min,"Action, Science Fiction, Suspense",A Helicopter Pilot And An Environmental Scientist Lead A Exodus Of Survivors In A Search For A Safe Haven After A Catastrophic Tectonic Event Causes The Crust Of The Earth To Break Apart.,
s10,Movie,David's Mother,Robert Allan Ackerman,"Kirstie Alley, Sam Waterston, Stockard Channing",1994,Not Rated,92,Min,Drama,"Sally Goodson Is A Devoted Mother To Her Autistic Son David. Abandoned By Her Husband, Sally Has Managed To Keep Her Son Out Of ""The System"", Until A Social Worker Comes Along.",
